,,Name,,,,Time/iter, +/-,,Min,Max
,,cc_2_threads_iter_streaming_8_100,,,,"152,562","5,041",,"147,521","157,603"
,,cc_2_threads_iter_streaming_10_100,,,,"151,601","5,023",,"146,578","156,624"
,,vec_2_threads_iter_100,,,,"164,950","8,832",,"156,118","173,782"
,,,,,,,,,,
,,cc_2_threads_iter_streaming_1_1000,,,,"153,236","5,253",,"147,983","158,489"
,,cc_2_threads_iter_streaming_4_1000,,,,"153,150","4,810",,"148,340","157,960"
,,cc_2_threads_iter_streaming_8_1000,,,,"154,303","4,688",,"149,615","158,991"
,,cc_2_threads_iter_streaming_10_1000,,,,"152,138","4,818",,"147,320","156,956"
,,vec_2_threads_iter_1000,,,,"163,580","7,439",,"156,141","171,019"
,,,,,,,,,,
,,cc_2_threads_iter_streaming_1_5000,,,,"169,961","5,012",,"164,949","174,973"
,,cc_2_threads_iter_streaming_4_5000,,,,"170,594","5,324",,"165,270","175,918"
,,cc_2_threads_iter_streaming_8_5000,,,,"171,078","6,327",,"164,751","177,405"
,,cc_2_threads_iter_streaming_10_5000,,,,"172,017","4,621",,"167,396","176,638"
,,vec_2_threads_iter_5000,,,,"160,480","5,679",,"154,801","166,159"
,,,,,,,,,,
,,cc_2_threads_iter_streaming_1_10000,,,,"191,153","6,387",,"184,766","197,540"
,,cc_2_threads_iter_streaming_4_10000,,,,"191,557","6,845",,"184,712","198,402"
,,cc_2_threads_iter_streaming_8_10000,,,,"191,962","6,368",,"185,594","198,330"
,,cc_2_threads_iter_streaming_10_10000,,,,"193,454","7,960",,"185,494","201,414"
,,vec_2_threads_iter_10000,,,,"163,020","6,989",,"156,031","170,009"
,,,,,,,,,,
,,cc_2_threads_iter_streaming_1_50000,,,,"340,478","10,048",,"330,430","350,526"
,,cc_2_threads_iter_streaming_4_50000,,,,"342,754","53,795",,"288,959","396,549"
,,cc_2_threads_iter_streaming_8_50000,,,,"339,923","14,781",,"325,142","354,704"
,,cc_2_threads_iter_streaming_10_50000,,,,"341,560","17,505",,"324,055","359,065"
,,vec_2_threads_iter_50000,,,,"180,596","6,836",,"173,760","187,432"
,,,,,,,,,,
,,,,,,,,,,
6 Threads,Streaming Iter,cc_6_threads_iter_streaming_1_100,,,,"363,627","44,633",,"318,994","408,260"
,,cc_6_threads_iter_streaming_4_100,,,,"386,800","24,064",,"362,736","410,864"
,,cc_6_threads_iter_streaming_8_100,,,,"383,924","20,980",,"362,944","404,904"
,,cc_6_threads_iter_streaming_10_100,,,,"370,893","19,336",,"351,557","390,229"
,,vec_6_threads_iter_100,,,,"392,329","12,855",,"379,474","405,184"
,,,,,,,,,,
,,cc_6_threads_iter_streaming_1_1000,,,,"392,214","21,739",,"370,475","413,953"
,,cc_6_threads_iter_streaming_4_1000,,,,"390,393","25,196",,"365,197","415,589"
,,cc_6_threads_iter_streaming_8_1000,,,,"390,755","19,521",,"371,234","410,276"
,,cc_6_threads_iter_streaming_10_1000,,,,"377,488","19,597",,"357,891","397,085"
,,vec_6_threads_iter_1000,,,,"389,126","9,623",,"379,503","398,749"
,,,,,,,,,,
,,cc_6_threads_iter_streaming_1_5000,,,,"380,201","19,433",,"360,768","399,634"
,,cc_6_threads_iter_streaming_4_5000,,,,"379,500","15,565",,"363,935","395,065"
,,cc_6_threads_iter_streaming_8_5000,,,,"385,911","14,091",,"371,820","400,002"
,,cc_6_threads_iter_streaming_10_5000,,,,"371,178","15,345",,"355,833","386,523"
,,vec_6_threads_iter_5000,,,,"388,626","14,092",,"374,534","402,718"
,,,,,,,,,,
,,cc_6_threads_iter_streaming_1_10000,,,,"405,126","14,769",,"390,357","419,895"
,,cc_6_threads_iter_streaming_4_10000,,,,"405,829","11,579",,"394,250","417,408"
,,cc_6_threads_iter_streaming_8_10000,,,,"407,676","14,834",,"392,842","422,510"
,,cc_6_threads_iter_streaming_10_10000,,,,"394,601","10,166",,"384,435","404,767"
,,vec_6_threads_iter_10000,,,,"398,867","16,082",,"382,785","414,949"
,,,,,,,,,,
,,cc_6_threads_iter_streaming_1_50000,,,,"690,202","27,989",,"662,213","718,191"
,,cc_6_threads_iter_streaming_4_50000,,,,"690,053","26,483",,"663,570","716,536"
,,cc_6_threads_iter_streaming_8_50000,,,,"717,143","19,913",,"697,230","737,056"
,,cc_6_threads_iter_streaming_10_50000,,,,"674,547","23,885",,"650,662","698,432"
,,vec_6_threads_iter_50000,,,,"386,192","13,538",,"372,654","399,730"
,,,,,,,,,,
,,,,,,,,,,
No Threads,Normal Iter Mut,cc_no_threads_iter_mut_1_100,,,,"1,670",350,,"1,320","2,020"
,,cc_no_threads_iter_mut_4_100,,,,"3,966",263,,"3,703","4,229"
,,cc_no_threads_iter_mut_8_100,,,,"2,524",141,,"2,383","2,665"
,,cc_no_threads_iter_mut_10_100,,,,"2,721",182,,"2,539","2,903"
,,vec_no_threads_iter_mut_100,,,,55,5,,50,60
,,,,,,,,,,
,,cc_no_threads_iter_mut_1_1000,,,,"13,951","1,673",,"12,278","15,624"
,,cc_no_threads_iter_mut_4_1000,,,,"14,979","1,685",,"13,294","16,664"
,,cc_no_threads_iter_mut_8_1000,,,,"15,511","2,436",,"13,075","17,947"
,,cc_no_threads_iter_mut_10_1000,,,,"14,965","1,634",,"13,331","16,599"
,,vec_no_threads_iter_mut_1000,,,,512,22,,490,534
,,,,,,,,,,
,,cc_no_threads_iter_mut_1_5000,,,,"66,868","9,427",,"57,441","76,295"
,,cc_no_threads_iter_mut_4_5000,,,,"76,355","3,938",,"72,417","80,293"
,,cc_no_threads_iter_mut_8_5000,,,,"81,885","7,629",,"74,256","89,514"
,,cc_no_threads_iter_mut_10_5000,,,,"69,603","21,119",,"48,484","90,722"
,,vec_no_threads_iter_mut_5000,,,,"2,546",130,,"2,416","2,676"
,,,,,,,,,,
,,cc_no_threads_iter_mut_1_10000,,,,"133,265","24,692",,"108,573","157,957"
,,cc_no_threads_iter_mut_4_10000,,,,"151,367","22,845",,"128,522","174,212"
,,cc_no_threads_iter_mut_8_10000,,,,"155,239","14,000",,"141,239","169,239"
,,cc_no_threads_iter_mut_10_10000,,,,"136,683","15,170",,"121,513","151,853"
,,vec_no_threads_iter_mut_10000,,,,"5,085",310,,"4,775","5,395"
,,,,,,,,,,
,,cc_no_threads_iter_mut_1_50000,,,,"665,010","28,695",,"636,315","693,705"
,,cc_no_threads_iter_mut_4_50000,,,,"756,666","51,802",,"704,864","808,468"
,,cc_no_threads_iter_mut_8_50000,,,,"742,837","53,424",,"689,413","796,261"
,,cc_no_threads_iter_mut_10_50000,,,,"678,070","127,130",,"550,940","805,200"
,,vec_no_threads_iter_mut_50000,,,,"25,073","1,339",,"23,734","26,412"
,,,,,,,,,,
,,,,,,,,,,
2 Threads,Normal Iter Mut,cc_2_threads_iter_mut_1_100,,,,"151,842","4,320",,"147,522","156,162"
,,cc_2_threads_iter_mut_4_100,,,,"151,310","4,332",,"146,978","155,642"
,,cc_2_threads_iter_mut_8_100,,,,"152,999","4,434",,"148,565","157,433"
,,cc_2_threads_iter_mut_10_100,,,,"154,378","3,931",,"150,447","158,309"
,,vec_2_threads_iter_mut_100,,,,"162,044","6,243",,"155,801","168,287"
,,,,,,,,,,
,,cc_2_threads_iter_mut_1_1000,,,,"167,510","5,432",,"162,078","172,942"
,,cc_2_threads_iter_mut_4_1000,,,,"167,410","6,127",,"161,283","173,537"
,,cc_2_threads_iter_mut_8_1000,,,,"168,226","5,275",,"162,951","173,501"
,,cc_2_threads_iter_mut_10_1000,,,,"168,580","6,118",,"162,462","174,698"
,,vec_2_threads_iter_mut_1000,,,,"162,261","7,202",,"155,059","169,463"
,,,,,,,,,,
,,cc_2_threads_iter_mut_1_5000,,,,"294,737","7,629",,"287,108","302,366"
,,cc_2_threads_iter_mut_4_5000,,,,"228,547","8,485",,"220,062","237,032"
,,cc_2_threads_iter_mut_8_5000,,,,"228,502","7,673",,"220,829","236,175"
,,cc_2_threads_iter_mut_10_5000,,,,"228,840","7,930",,"220,910","236,770"
,,vec_2_threads_iter_mut_5000,,,,"162,035","6,981",,"155,054","169,016"
,,,,,,,,,,
,,cc_2_threads_iter_mut_1_10000,,,,"446,702","10,400",,"436,302","457,102"
,,cc_2_threads_iter_mut_4_10000,,,,"320,757","8,539",,"312,218","329,296"
,,cc_2_threads_iter_mut_8_10000,,,,"303,369","12,767",,"290,602","316,136"
,,cc_2_threads_iter_mut_10_10000,,,,"302,916","9,290",,"293,626","312,206"
,,vec_2_threads_iter_mut_10000,,,,"165,473","5,719",,"159,754","171,192"
,,,,,,,,,,
